id,source,headline,url,checkworthy,sentiment,raw_response,model,checkworthy_confidence,sentiment_confidence
1,Bangladesh Pratidin,মরক্কো ম্যাচের পর কেন ফুটবল সম্রাটদের পাশে বসল এমবাপের নাম?,https://www.bd-pratidin.com/sports/2026/07/10/1273263,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.95}",gemma-3-4b-it,0.98,0.95
2,Bangladesh Pratidin,এখনো ১৯ বছরের তরুণের মতো খেলছে মেসি : স্পেন কোচ,https://www.bd-pratidin.com/sports/2026/07/10/1273257,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.96}",gemma-3-4b-it,0.97,0.96
3,Bangladesh Pratidin,ভোজিনহার নামে নতুন সামুদ্রিক প্রাণীর নামকরণ,https://www.bd-pratidin.com/sports/2026/07/10/1273252,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.99, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.85}",gemma-3-4b-it,0.99,0.85
4,Bangladesh Pratidin,হারের পর আইসিসি থেকেও শাস্তি পেল বাংলাদেশ,https://www.bd-pratidin.com/sports/2026/07/10/1273231,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 1.0, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.92}",gemma-3-4b-it,1.0,0.92
5,Bangladesh Pratidin,আর্জেন্টিনার কাছে বিদায়ের পর দেশে ফিরেই ছাদখোলা বাসে সংবর্ধনা পেল মিসর,https://www.bd-pratidin.com/sports/2026/07/10/1273227,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.94}",gemma-3-4b-it,0.96,0.94
6,Bangladesh Pratidin,আন্তর্জাতিক ফুটবলকে বিদায় বললেন সাদিও মানে,https://www.bd-pratidin.com/sports/2026/07/10/1273224,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.95}",gemma-3-4b-it,0.98,0.95
7,Bangladesh Pratidin,কোয়ার্টারে ইংল্যান্ডের মুখোমুখি হওয়ার আগে হোটেল নিয়ে বিড়ম্বনায় নরওয়ে,https://www.bd-pratidin.com/sports/2026/07/10/1273136,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.93}",gemma-3-4b-it,0.97,0.93
8,Bangladesh Pratidin,জিম্বাবুয়ে সিরিজ থেকে ছিটকে গেলেন মুস্তাফিজ,https://www.bd-pratidin.com/sports/2026/07/10/1273129,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.99, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.96}",gemma-3-4b-it,0.99,0.96
9,Bangladesh Pratidin,বেলজিয়ামের রোলারকোস্টার যাত্রায় কি পিষ্ট হবে ‘নিখুঁত’ স্পেন?,https://www.bd-pratidin.com/sports/2026/07/10/1273115,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.85, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.82}",gemma-3-4b-it,0.85,0.82
10,Bangladesh Pratidin,রোনালদো-রিভালদোর কীর্তির পাশে এমবাপ্পে-দেম্বেলে,https://www.bd-pratidin.com/sports/2026/07/10/1273109,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.92, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.88}",gemma-3-4b-it,0.92,0.88
11,Bangladesh Pratidin,ভারতকে ৪-০ ব্যবধানে হারিয়ে এক নম্বর দল হতে চায় ইংল্যান্ড,https://www.bd-pratidin.com/sports/2026/07/10/1273108,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.85}",gemma-3-4b-it,0.98,0.85
12,Bangladesh Pratidin,"ইতিহাস গড়ছে বিগ ব্যাশ, চেন্নাইয়ে হবে উদ্বোধনী ম্যাচ",https://www.bd-pratidin.com/sports/2026/07/10/1273107,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.95, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.88}",gemma-3-4b-it,0.95,0.88
13,Bangladesh Pratidin,"‘স্পেন নাকি বেলজিয়াম: প্রতিপক্ষ কে, তা নিয়ে ভাবছি না’",https://www.bd-pratidin.com/sports/2026/07/10/1273058,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.92, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.79}",gemma-3-4b-it,0.92,0.79
14,Bangladesh Pratidin,টুখেলকে ঘুমোতে দিচ্ছে না আর্লিং হালান্ডের বিধ্বংসী পরিসংখ্যান?,https://www.bd-pratidin.com/sports/2026/07/10/1273055,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.82}",gemma-3-4b-it,0.96,0.82
15,Bangladesh Pratidin,বিশ্বকাপ ফাইনালের আগে লামিন ইয়ামালের বান্ধবীর অদ্ভুত আবদার,https://www.bd-pratidin.com/sports/2026/07/10/1273053,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.94, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.75}",gemma-3-4b-it,0.94,0.75
16,Bangladesh Pratidin,"ভারত শিবিরে দুঃসংবাদ, ছিটকে গেলেন দুই তারকা",https://www.bd-pratidin.com/sports/2026/07/10/1273049,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.85}",gemma-3-4b-it,0.98,0.85
17,Bangladesh Pratidin,যুক্তরাষ্ট্রের লাল কার্ড বিতর্কে চরম বিপাকে ফিফা সভাপতি,https://www.bd-pratidin.com/sports/2026/07/10/1273048,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.9}",gemma-3-4b-it,0.97,0.9
18,Bangladesh Pratidin,"এমবাপ্পের পেনাল্টি মিসে আলোচনায় ‘স্টাটার’, এই কৌশল কি এখন অকার্যকর?",https://www.bd-pratidin.com/sports/2026/07/10/1273045,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.75}",gemma-3-4b-it,0.96,0.75
19,Bangladesh Pratidin,ইংল্যান্ডের কোয়ানসাকে ২ ম্যাচ নিষিদ্ধ করল ফিফা,https://www.bd-pratidin.com/sports/2026/07/10/1273007,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.99, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.92}",gemma-3-4b-it,0.99,0.92
