id,source,headline,url,checkworthy,sentiment,raw_response,model,checkworthy_confidence,sentiment_confidence
1,The Daily Star,ফিফা বিশ্বকাপ/ ফাইনালে ওঠার সম্ভাবনার রোমাঞ্চ ছুঁয়ে যাচ্ছে আর্জেন্টিনাকে,https://bangla.thedailystar.net/sports/sports-special/fifa-world-cup-2026/news-3941736,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.95}",gemma-3-4b-it,0.98,0.95
2,The Daily Star,চওয়ালিনস্কাকে হারিয়ে ফ্রেঞ্চ ওপেন জিতলেন আন্দ্রেভা,https://bangla.thedailystar.net/sports/other-sports/tennis/news-3931191,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.96}",gemma-3-4b-it,0.97,0.96
3,The Daily Star,"রোনালদো কখনোই সমস্যা নয়, জানালেন পর্তুগাল কোচ",https://bangla.thedailystar.net/sports/football/news-3941696,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.95, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.88}",gemma-3-4b-it,0.95,0.88
4,The Daily Star,ইংল্যান্ড ম্যাচের আগে আচমকা হোটেল বদল হালান্ডদের,https://bangla.thedailystar.net/sports/sports-special/fifa-world-cup-2026/news-3941676,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.92, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.85}",gemma-3-4b-it,0.92,0.85
5,The Daily Star,'তোমরা আমাদের গর্বিত করেছ': বিশ্বকাপ দলকে বীরোচিত সংবর্ধনা মিশরের,https://bangla.thedailystar.net/sports/sports-special/fifa-world-cup-2026/news-3941666,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.99, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.97}",gemma-3-4b-it,0.99,0.97
6,The Daily Star,"উৎসবের অপেক্ষায় নরওয়ে, কিন্তু বৃষ্টির পূর্বাভাসে দুশ্চিন্তা",https://bangla.thedailystar.net/sports/sports-special/fifa-world-cup-2026/news-3941656,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.95}",gemma-3-4b-it,0.98,0.95
7,The Daily Star,এক বিশ্বকাপেই যত রেকর্ড এমবাপের,https://bangla.thedailystar.net/sports/sports-special/fifa-world-cup-2026/news-3941636,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.96}",gemma-3-4b-it,0.97,0.96
8,The Daily Star,"সুযোগ পাচ্ছেন না পাজ-বার্কো, নকআউটে অভিজ্ঞদের ওপরই ভরসা স্কালোনির",https://bangla.thedailystar.net/sports/sports-special/fifa-world-cup-2026/news-3941626,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.99, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.97}",gemma-3-4b-it,0.99,0.97
9,The Daily Star,বিশ্বকাপ উন্মাদনার আড়ালে হারারেতে বাংলাদেশের ক্রিকেট বিপর্যয়,https://bangla.thedailystar.net/sports/cricket/news-3941611,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.88}",gemma-3-4b-it,0.96,0.88
10,The Daily Star,স্প্যানিশদের ‘জীবন কঠিন’ করে তুলতে চান লুকাকু,https://bangla.thedailystar.net/sports/sports-special/fifa-world-cup-2026/news-3941606,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.95, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.91}",gemma-3-4b-it,0.95,0.91
