id,source,headline,url
1,News24,কোয়ার্টারে আর্জেন্টিনার সামনে আরেক ‘ভোজিনিয়া’,https://www.news24bd.tv/details/290231
2,News24,হারের পর আইসিসি থেকেও শাস্তি পেল বাংলাদেশ,https://www.news24bd.tv/details/290224
3,News24,"৩৯ বছর বয়সেও তরুণ মেসি, ফিটনেসের রহস্য কী?",https://www.news24bd.tv/details/290216
4,News24,"ইংল্যান্ড নাকি নরওয়ে, ১ম সেমিফাইনাল কে খেলবে জানালো সুপার কম্পিউটার",https://www.news24bd.tv/details/290214
5,News24,হালান্ডদের মুখোমুখি হওয়ার আগে বড় দুঃসংবাদ পেল ইংল্যান্ড,https://www.news24bd.tv/details/290190
6,News24,মেসিদের মুখোমুখি হওয়ার আগে বড় সুখবর পেল সুইজারল্যান্ড,https://www.news24bd.tv/details/290187
7,News24,"পরিসংখ্যানে আর্জেন্টিনার জন্য সুখবর, সুইজারল্যান্ড শিবিরে বড় দুঃসংবাদ",https://www.news24bd.tv/details/290185
8,News24,"এমবাপ্পের পেনাল্টি ঘিরে নতুন বিতর্ক, কাঠগড়ায় রেফারি ও ভিএআর",https://www.news24bd.tv/details/290175
9,News24,বিশ্বকাপে আর্জেন্টিনাকে সমর্থন নেতানিয়াহুর,https://www.news24bd.tv/details/290166
10,News24,চোটে পড়ে ছিটকে গেছেন মুস্তাফিজ,https://www.news24bd.tv/details/290158
11,News24,সুইসদের বিপক্ষে আর্জেন্টিনার সম্ভাব্য একাদশ,https://www.news24bd.tv/details/290152
12,News24,গোল্ডেন বুটের লড়াইয়ে মেসিকে টপকে শীর্ষে এমবাপ্পে,https://www.news24bd.tv/details/290147
13,News24,"স্পেন নাকি বেলজিয়াম, কে যাবে সেমিফাইনালে?",https://www.news24bd.tv/details/290143
14,News24,"মরক্কোর বিদায়ে লন্ডনে উত্তেজনা, দাঙ্গা",https://www.news24bd.tv/details/290135
15,News24,"বিশ্বকাপে বুনোর অনন্য কীর্তি, ৯ পেনাল্টিতে গোল হজম মাত্র দুটি",https://www.news24bd.tv/details/290134
16,News24,"এফবিআইর নজরে আর্জেন্টিনার ফুটবল অ্যাসোসিয়েশন, আসল সত্যটা কী?",https://www.news24bd.tv/details/290129
17,News24,এক যুগ আগের আর্জেন্টিনা-সুইজারল্যান্ড ম্যাচটি কী বার্তা দেয়?,https://www.news24bd.tv/details/290127
18,News24,বিশ্বকাপে না খেলেও কোটি কোটি টাকা পাচ্ছেন মার্কিন নারী ফুটবলাররা,https://www.news24bd.tv/details/290123
19,News24,"ফিফার পরিসংখ্যান বলছে, এই বিশ্বকাপে সেরা দল আর্জেন্টিনা",https://www.news24bd.tv/details/290117
20,News24,সেমিফাইনালে ফ্রান্সের প্রতিপক্ষ কে?,https://www.news24bd.tv/details/290114
21,News24,৩৪ ম্যাচ পর ফ্রান্সে থামলো মরক্কোর মহাকাব্যিক যাত্রা,https://www.news24bd.tv/details/290112
22,News24,সুইজারল্যান্ডের বিপক্ষে কেমন হবে আর্জেন্টিনার একাদশ?,https://www.news24bd.tv/details/290110
23,News24,ব্রাজিল-জার্মানিকে ঘিরে বিশ্বকাপে নতুন ইতিহাস,https://www.news24bd.tv/details/290109
24,News24,এক ম্যাচ নিষিদ্ধ হতে পারেন মেসি!,https://www.news24bd.tv/details/290107
25,News24,হারের পর ফ্রান্সকে নিয়ে যা বললেন মরক্কোর কোচ,https://www.news24bd.tv/details/290106
26,News24,"গোড়ালিতে চোট পেয়ে মাঠ ছাড়লেন এমবাপ্পে, কতটা গুরুতর?",https://www.news24bd.tv/details/290105
27,News24,ব্রাজিল-জার্মানির পর বিশ্বকাপে বিরল রেকর্ড গড়লো ফ্রান্স,https://www.news24bd.tv/details/290104
28,News24,"বিশ্বকাপে এমবাপ্পের অনন্য কীর্তি, ৯৬ বছরের ইতিহাসে যা আর কারও নেই",https://www.news24bd.tv/details/290103
29,News24,চ্যাম্পিয়ন না হওয়া পর্যন্ত আমরা শান্ত হচ্ছি না: এমবাপ্পে,https://www.news24bd.tv/details/290102
30,News24,মরক্কোর স্বপ্ন ভেঙে সেমিফাইনালে ফ্রান্স,https://www.news24bd.tv/details/290101
31,News24,"অবশেষে ফেঁসে যাচ্ছেন ফিফা প্রেসিডেন্ট, গোপন চুক্তি ফাঁস!",https://www.news24bd.tv/details/290089
32,News24,এক ম্যাচ নিষেধাজ্ঞার ঝুঁকিতে মেসি,https://www.news24bd.tv/details/290088
33,News24,সুইজারল্যান্ডের বিপক্ষে আর্জেন্টিনার একাদশে পরিবর্তনের আভাস,https://www.news24bd.tv/details/290087
34,News24,আনচেলত্তির বিদায় চান ব্রাজিল কিংবদন্তি,https://www.news24bd.tv/details/290079
35,News24,জিম্বাবুয়ের কাছে টেস্টের পর ওয়ানডে সিরিজেও হারল টাইগাররা,https://www.news24bd.tv/details/290076
36,News24,"স্কালোনিকে রাগ দেখানো, থুতু নিক্ষেপসহ ম্যাচে যা করেছেন মিশরের কোচ",https://www.news24bd.tv/details/290072
37,News24,কোয়ার্টার ফাইনালে ফ্রান্স-মরক্কোর ম্যাচ অনলাইনে দেখবেন যেভাবে,https://www.news24bd.tv/details/290071
38,News24,ভিএআর কী এবং বিশ্বকাপে এটি নিয়ে কেন এতো বিতর্ক?,https://www.news24bd.tv/details/290064
39,News24,ফিফার নতুন নিয়মে সুবিধা পাচ্ছে আর্জেন্টিনাসহ যে ৪ দল,https://www.news24bd.tv/details/290062
40,News24,মরক্কো ম্যাচের আগে ফ্রান্সকে দুঃসংবাদ দিল ফিফা,https://www.news24bd.tv/details/290060
41,News24,"সেমিফাইনালে যাবে কোন চার দল, জানালো সুপার কম্পিউটার",https://www.news24bd.tv/details/290057
42,News24,তুমুল বিতর্কের মধ্যে মেসিকে একসঙ্গে দুই স্বীকৃতি,https://www.news24bd.tv/details/290053
43,News24,মেসিকে নিয়ে যে কারণে আনন্দিত ইয়ামাল,https://www.news24bd.tv/details/290041
44,News24,সিরিজ বাঁচাতে বাংলাদেশের দরকার ২৪৮ রান,https://www.news24bd.tv/details/290039
45,News24,ব্রাজিল-জার্মানিকে টপকে শীর্ষ দশে মেক্সিকো,https://www.news24bd.tv/details/290031
46,News24,টাইগার বোলারদের দাপটে চাপে জিম্বাবুয়ে,https://www.news24bd.tv/details/290022
47,News24,কে হচ্ছেন পর্তুগালের নতুন কোচ?,https://www.news24bd.tv/details/290020
48,News24,হুইলচেয়ারে থাকা সাংবাদিককে থামিয়ে সাক্ষাৎকার দিলেন মেসি,https://www.news24bd.tv/details/290016
49,News24,"বড় বিপদে আর্জেন্টিনা-মিসর ম্যাচের রেফারি, নিয়েছেন নয়া কৌশল",https://www.news24bd.tv/details/290011
50,News24,মিসরের অভিযোগ নাকচ করলো ফিফা,https://www.news24bd.tv/details/290006
51,News24,‘অভিশাপ’ মুক্ত হলো আর্জেন্টিনা,https://www.news24bd.tv/details/290005
52,News24,ওয়াটার ব্রেকের নামে ৫০০ মিলিয়ন ডলার আয়ের কৌশল ফিফার,https://www.news24bd.tv/details/289997
53,News24,মিসরকে অন্যায়ভাবে হারিয়ে দেওয়া হয়েছে: জোহরান মামদানি,https://www.news24bd.tv/details/289989
54,News24,"ফ্রান্স নাকি মরক্কো, কে জিতবে—জানাল সুপারকম্পিউটার",https://www.news24bd.tv/details/289988
55,News24,মিসরের অভিযোগে কি বিশ্বকাপ থেকে বাদ পড়বেন রেফারিং দল?,https://www.news24bd.tv/details/289981
56,News24,কোয়ার্টারের বাধা পেরিয়ে সেমি খেলবে যে ৪ দল,https://www.news24bd.tv/details/289979
57,News24,বিশ্বকাপে নিষেধাজ্ঞার শঙ্কায় আর্জেন্টাইন তারকাসহ ১৮ ফুটবলার,https://www.news24bd.tv/details/289976
58,News24,সুখবর পেলেন মিশরের কোচ হোসাম হাসান,https://www.news24bd.tv/details/289972
