title,author,genre,publisher,published,language,pages,price,rating,rating_count,summary,cover,url
All Out! Chapter 2,ফাইয়াজ ইশরাক,একশন,সোর্স?,by সোর্স?,English,20,19,,,"EVER WONDERED WHAT A CRICKET MATCH WOULD BE LIKE BETWEEN TWO PLANETS? AFTER A DEVASTATING NUCLEAR WAR, MOST OF HUMANITY FINDS A NEW HOME ON MARS. BUT THIS TIME, CONFLICTS AREN'T RESOLVED WITH WEAPONS, BUT WITH SPORTS! WITNESS THE EPIC SHOWDOWN BETWEEN EARTH AND MARS, WHERE EVERY RUN AND WICKET ISN'T JUST FOR VICTORY, BUT FOR THE VERY SURVIVAL. 'ALL OUT!' IS NOT JUST A MANGA; IT'S A JOURNEY INTO A FUTURE WHERE CRICKET TRANSCENDS WORLDS. IT'S A MUST-HAVE FOR EVERY CRICKET LOVER AND MANGA ENTHUSIAST.",https://images.boitoi.com.bd/book/3f533d96-81f3-4ead-9855-27af3a55686f_lg.jpg,https://boitoi.com.bd/books/10736/all-out!-chapter-2
All Out! Chapter 3,ফাইয়াজ ইশরাক,একশন,সোর্স?,by সোর্স?,English,21,0,,,"EVER WONDERED WHAT A CRICKET MATCH WOULD BE LIKE BETWEEN TWO PLANETS? AFTER A DEVASTATING NUCLEAR WAR, MOST OF HUMANITY FINDS A NEW HOME ON MARS. BUT THIS TIME, CONFLICTS AREN'T RESOLVED WITH WEAPONS, BUT WITH SPORTS! WITNESS THE EPIC SHOWDOWN BETWEEN EARTH AND MARS, WHERE EVERY RUN AND WICKET ISN'T JUST FOR VICTORY, BUT FOR THE VERY SURVIVAL. 'ALL OUT!' IS NOT JUST A MANGA; IT'S A JOURNEY INTO A FUTURE WHERE CRICKET TRANSCENDS WORLDS. IT'S A MUST-HAVE FOR EVERY CRICKET LOVER AND MANGA ENTHUSIAST.",https://images.boitoi.com.bd/book/1900ba87-17d9-4e52-99da-a4b4aa6db5ea_lg.jpg,https://boitoi.com.bd/books/10759/all-out!-chapter-3
All Out! Chapter 4,ফাইয়াজ ইশরাক,একশন,সোর্স?,by সোর্স?,English,26,19,,,"EVER WONDERED WHAT A CRICKET MATCH WOULD BE LIKE BETWEEN TWO PLANETS? AFTER A DEVASTATING NUCLEAR WAR, MOST OF HUMANITY FINDS A NEW HOME ON MARS. BUT THIS TIME, CONFLICTS AREN'T RESOLVED WITH WEAPONS, BUT WITH SPORTS! WITNESS THE EPIC SHOWDOWN BETWEEN EARTH AND MARS, WHERE EVERY RUN AND WICKET ISN'T JUST FOR VICTORY, BUT FOR THE VERY SURVIVAL. 'ALL OUT!' IS NOT JUST A MANGA; IT'S A JOURNEY INTO A FUTURE WHERE CRICKET TRANSCENDS WORLDS. IT'S A MUST-HAVE FOR EVERY CRICKET LOVER AND MANGA ENTHUSIAST.",https://images.boitoi.com.bd/book/0cb5d343-d994-4c07-b99c-fa20d94e49f0_lg.jpg,https://boitoi.com.bd/books/10760/all-out!-chapter-4
দি কিচেন স্টোরিজ,সুরভী হাসনীন,# 5 রেসিপি,বইটই,by বইটই,বাংলা,50,30,,,"এক যে ছিল দত্যি, দানো, গল্প বুড়ির কথায় সাজা সোনার সংসার। বন্ধুরা সব নদের বুকে ঝাঁপিয়ে পরা নীলাভ জলের গান। উড়ন্ত মন, দুরন্ত সব কল্পলোকের ঠেউ, ভাত ঘুমেদের ফাঁকি দিয়ে বনভোজনের ঠেউ৷ ছেড়ে আসা শৈশবে সেই ছোট্ট ছেলেবেলা, ছেলে ধরা, কাবুলিওয়ালা, লেসফিতার মেলা। মায়ের বুকে ঘুমিয়ে পরেও বাবার ডাকে জাগা। ঘুমঘুম চোখ, দাওয়ায় বসে গরম ভাত খাওয়া। পাতের পাশে হরেক ভাজা, লালচে আইড় পেটি, অঙ্গে তোলা রূপা রঙের শাড়ি পরা ইলিশ মাছের গাদা। চোখ কচলে হাত দেব যেই, ওমা কোথায় তারা! শহুরে এই যন্ত্রজীবন কেড়ে নিল সব। আজকে এসো গল্প শোনাই, মায়ের, দীদার, মাসির হেঁশেল থেকে তুলে আনা গল্প রাশি রাশি।",https://images.boitoi.com.bd/book/50675c3d-73dd-4853-b410-86008590eedf_lg.jpg,https://boitoi.com.bd/books/10943/দি-কিচেন-স্টোরিজ
বিভীষিকা,রুনু সিদ্দিক,মুক্তিযুদ্ধ,বইটই,by বইটই,বাংলা,29,30,,,"১৯৭১, মুক্তিযুদ্ধের সময়কালীন ও পরবর্তী সময়ে আপামর জন সাধারন কোন না কোন বিভীষিকার মধ্যে দিয়ে দিনযাপন করেছে। শেষ করে গ্রামের সহজসরল মানুষজনেরা। সেই নয় মাসের রক্তক্ষয়ী যুদ্ধে কত শত বিভীষিকাময় দিনরাত্রি যাপন করেছে দেশের মানুষজন তা ধারণার বাইরে। তেমনি কিছু ঘটনা ছোট বড় গল্প আকারে  তুলে ধরা হয়েছে সে সময়কার ঘটে যাওয়া অসহনীয় এ রক্তহীম করা গল্প, গল্পগুলো একাত্তরের। আমাদের আজকের যে স্বাধীন বাংলাদেশ তা পেতে কী পরিমাণ ত্যাগ তিতিক্ষার করতে হয়েছে, সেসব জানতে হলে এই প্রজন্মের সবাইকে পড়তে হবে যুদ্ধের ইতিহাস সম্বলিত বই উপন্যাস ও গল্প।",https://images.boitoi.com.bd/book/ee05b98a-076c-41c6-85cc-a157b125f6ea_lg.jpg,https://boitoi.com.bd/books/12264/বিভীষিকা
বাংলাদেশের গণহত্যা,ড. রমন কুমার বিশ্বাস,মুক্তিযুদ্ধ,রয়েল পাবলিকেশন,by রয়েল পাবলিকেশন,বাংলা,206,30,,,পাকিস্তানি স্বৈরাচার সরকার কিভাবে বাংলাদেশের মানুষের উপর বর্বর হত্যাকাণ্ড ঘটিয়েছিল তার বিশদ বিবরণ বইটিতে তুলে ধরা হয়েছে।,https://images.boitoi.com.bd/book/b8968292-e886-45a1-9aef-45883ffbe34e_lg.jpg,https://boitoi.com.bd/books/12397/বাংলাদেশের-গণহত্যা
The Celestial Academy,Md sifat Hasan,ছোট গল্প,বইটই,by বইটই,বাংলা,0,,,,"দ্য সেলেস্টিয়াল একাডেমি:


 জাদু এবং বন্ধুত্বের মহাকাব্যিক যাত্রা

নোভার স্টারলিং, ওরিয়ন ড্রেক, লিরা মুনশ্যাডো এবং সোল ব্লেজের সাথে যোগ দিন, যখন তারা সেলেস্টিয়াল একাডেমিতে একটি অসাধারণ অভিযানে রওনা দেয়, যা অস্ট্রালিসের জাদুকরী রাজ্যে যুবক জাদুকরী এবং উইজার্ডদের জন্য একটি মর্যাদাপূর্ণ স্কুল। নোভা, যার একটি রহস্যময় অতীত রয়েছে, তার বিরল ক্ষমতা আবিষ্কার করে যা তাকে নক্ষত্রপুঞ্জ নিয়ন্ত্রণ করতে সহায়তা করে। তার বন্ধুদের সাথে—ওরিয়ন, একটি তারকা অভিভাবক যে তার পরিবারের ঐতিহ্য রক্ষা করার চেষ্টা করছে; লিরা, একজন সহানুভূতিশীল নিরাময়কারী যে তার নিজের পথ খুঁজছে; এবং সোল, একটি অগ্নিময় সৌর উইজার্ড যে তার মেজাজ নিয়ন্ত্রণ করতে শিখছে—তারা স্কুল জীবনের চ্যালেঞ্জগুলি মোকাবেলা করে এবং লুকানো ক্ষমতা আবিষ্কার করে।
তাদের পড়াশোনায় গভীরতরভাবে প্রবেশ করার সাথে সাথে, বন্ধুরা একটি অন্ধকার ষড়যন্ত্র আবিষ্কার করে যা অস্ট্রালিসে যাদুর ভারসাম্যকে হুমকির মুখে ফেলে। প্রবীণদের পরিষদের জ্ঞান এবং মহাবিশ্বের সৃষ্টিকর্তা এলিন্ডর দ্য ইটার্নালের অদৃশ্য প্রভাব দ্বারা পরিচালিত, তাদের সেই অন্ধকার যাদুকরের মুখোমুখি হতে হবে যে তাদের জগতকে বিশৃঙ্খলার দিকে ঠেলে দেওয়ার চেষ্টা করে। পথে, তারা নিষিদ্ধ অঞ্চলগুলি অন্বেষণ করে, শক্তিশালী জাদুকরী সামগ্রীগুলির মুখোমুখি হয় এবং তাদের বন্ধুত্ব এবং সাহস পরীক্ষা করে এমন চ্যালেঞ্জগুলির মুখোমুখি হয়।
তীব্র প্রশিক্ষণ, মহাকাব্যিক যুদ্ধ এবং হৃদয়গ্রাহী মুহুর্তগুলির মাধ্যমে, নোভা এবং তার বন্ধুরা তাদের ক্ষমতার প্রকৃত সম্ভাবনা এবং তাদের বন্ধনের শক্তি আবিষ্কার করে। একসাথে, তারা তাদের জগতকে রক্ষা করার এবং অস্ট্রালিসে ভারসাম্য পুনরুদ্ধার করার চেষ্টা করে। ""দ্য সেলেস্টিয়াল একাডেমি"" একটি আকর্ষণীয় গল্প যা জাদু, অ্যাডভেঞ্চার এবং ভাঙার অযোগ্য বন্ধুত্বের শক্তি।",https://images.boitoi.com.bd/book/0c64c5f4-c71a-4ff8-bc64-88793bb9878b_lg.jpg,https://boitoi.com.bd/books/12960/the-celestial-academy
মায়া,পিচ্চি লেখিকা,ছোট গল্প,বইটই,by বইটই,বাংলা,0,,,,এই গল্পটা আমার জিবনের সত্যিকারের গল্প। এখানের প্রত্যকটা লাইন আমার জিবনের অংশ।কিন্তু একটা কথা হলো অন্তরার সাথে এখনও কথা হয় আমার।,https://images.boitoi.com.bd/book/1f7daaa3-aadd-425d-8059-e69de2d16f79_lg.jpg,https://boitoi.com.bd/books/13529/মায়া
রান্নাবান্না,পিচ্চি লেখিকা,রেসিপি,বইটই,by বইটই,বাংলা,0,,,,রোস্ট রান্নাটা খুবই সহজ।কিন্তু আমরা কেউ কেউ ভাবি রোস্ট রান্না করা খুব ঝামেলা।কিন্তু না যদি রান্নার সঠিক পদ্ধতি জানা থাকে তাহলে তা একদম পানির মতো সহজ।,https://images.boitoi.com.bd/book/bfca02a8-3476-4646-81b6-d3e1eb20ee8f_lg.jpg,https://boitoi.com.bd/books/13534/রান্নাবান্না
ট্র্যাজেডি অফ এররস পূর্ব পাকিস্তান সংকট ১৯৬৮-১৯৭১,লে. জে. (অব.) কামাল মতিনউদ্দীন,ইতিহাস,শোভা প্রকাশ,by শোভা প্রকাশ,বাংলা,419,80,,,"লে. জে. (অব.) কামাল মতিন উদ্দিন রচিত “ট্র্যাজেডি অফ এররস: পূর্ব পাকিস্তান সংকট ১৯৬৮-১৯৭১” বইটি পূর্ব পাকিস্তানের রাজনৈতিক সংকট, সামরিক শাসনের নির্যাতন, সামাজিক বৈষম্য এবং কেন্দ্রীয় সরকারের ভুল নীতিমালার বিশ্লেষণ তুলে ধরেছে। লেখক বইটিতে ১৯৬৮ থেকে ১৯৭১ সাল পর্যন্ত সময়কে কেন্দ্র করে পূর্ব পাকিস্তানে ঘটে যাওয়া রাজনৈতিক অস্থিরতা, বাঙালি জনগণের সঙ্গে কেন্দ্রীয় সরকারের বিরোধ এবং সামরিক ও রাজনৈতিক নেতৃত্বের ভুল সিদ্ধান্তসমূহ তুলে ধরেছেন।

বইটির মূল উপজীব্য হলো—কীভাবে সেই সময়কার রাজনৈতিক বিভ্রান্তি, দৃষ্টিভঙ্গির পার্থক্য এবং রাষ্ট্রীয় কাঠামোর দুর্বলতা ধীরে ধীরে একটি ভয়াবহ সংঘর্ষের দিকে এগিয়ে যায়, যার চূড়ান্ত পরিণতি ছিল বাংলাদেশের মুক্তিযুদ্ধ এবং স্বাধীনতা। এটি ইতিহাস, রাজনীতি ও সমাজবিজ্ঞানের একটি গুরুত্বপূর্ণ গবেষণাগ্রন্থ, যা বাঙালি জাতির আত্মত্যাগ এবং স্বাধীনতার সংগ্রামের পটভূমি বিশ্লেষণে সহায়ক।",https://images.boitoi.com.bd/book/56c8861d-fd80-4291-adb1-588f7b33ff58_lg.jpg,https://boitoi.com.bd/books/13726/ট্র্যাজেডি-অফ-এররস-পূর্ব-পাকিস্তান-সংকট-১৯৬৮-১৯৭১
